Code,Name,Old Location,New Location,Coming Stock,Stock
,,,COMPRESSOR_TANK_ROUND,,
IPAD_AIR_360_BLACK,E-01-01_iPad Air 360 Case Black,E-01-01,,10,15
IPAD_AIR_360_DARKBLUE,E-01-01_iPad Air 360 Case Dark Blue,E-01-01,,10,15
IPAD_AIR_360_LIGHTBLUE,E-01-01_ iPad Air 360 Case Light Blue,E-01-01,,10,15
IPAD_AIR_360_LIGHTPINK,E-01-01_iPad Air 360 Case Light Pink,E-01-01,,10,15
IPAD_AIR_360_RED,E-01-01_iPad Air 360 Case Red,E-01-01,,10,15
IPAD_AIR2_360_BLACK,E-01-01_iPad Air 2 360 Case Black,E-01-01,,10,15
IPAD_AIR2_360_DARKBLUE,E-01-01_iPad Air 2 360 Case Dark Blue,E-01-01,,10,15
IPAD_AIR2_360_LIGHTBLUE,E-01-01_ iPad Air 2 360 Case Light Blue,E-01-01,,10,15
IPAD_AIR2_360_LIGHTPINK,E-01-01_iPad Air 2 360 Case Light Pink,E-01-01,,10,15
IPAD_AIR2_360_RED,E-01-01_iPad Air 2 360 Case Red,E-01-01,,10,15
IPAD_HOLDER,D-02-04_iPad Holder,D-02-04,,10,15
IPAD4_MAG_CAS,D-01-01_iPad 4 Magnetic Case,D-01-01,,10,15
IPAD9.7_17_CASE,E-01-01_iPad 9.7 Leather Case,E-01-01,,10,15
IPAD10.2_BLACKGREEN,D-01-01_iPad 10.2 Case,D-01-01,,10,15
IPAD10.2_FULLBLACK,D-01-01_ iPad 7th Gen Case iPad 10.2 Case,D-01-01,,10,15
IPAD10.2_GRAYBLACK,D-01-01_iPad 10.2 Case Hard Case Gray Black 2019,D-01-01,,10,15
IPAD10.2_GREENBLACK,D-01-01_iPad 10.2 Case 2019,D-01-01,,10,15
IPAD10.2_PURPLEGREEN,D-01-01_iPad 7th Gen Case iPad 10.2 Case,D-01-01,,10,15
IPAD10.5_BLACKGREEN,D-01-01_iPad Air 3 Case 10.5 Case 2019 - Black Green,D-01-01,,10,15
IPAD10.5_BLACKPURPLE,D-01-01_iPad Air 3 Case 10.5 Case 2019 - Black Purple,D-01-01,,10,15
IPAD10.5_FULLBLACK,D-01-01_iPad Air 3 Case 10.5 Case 2019 - Black,D-01-01,,10,15
IPAD10.5_GRAYBLACK,D-01-01_iPad Air 3 Case 10.5 Case 2019 - Gray Black,D-01-01,,10,15
IPAD10.5_GREENBLACK,D-01-01_iPad Air 3 Case 10.5 Case 2019 - Green Black,D-01-01,,10,15
IPAD10.5_MAG_CASE,D-01-01_iPad Pro 10.5 Magnetic Case,D-01-01,,10,15
IPADAIR_4TH_10.9_DARKBLUE,"C-01-01_Case for ipad Air 4 10.9 inch 2020/iPad Pro 11"" 2020",C-01-01,,10,15
IPADAIR_MAG_CASE,E-01-01_1iPad Air 1 Magnetic Case,E-01-01,,10,15
IPADAIR2_MAG_CASE,E-01-01_1iPad Air 2 Case,E-01-01,,10,15
IPH_XS_FRE_BLACKGRAY,BG-U-01-01_SR_Lifeproof iPhone XS Fre Case Asphalt - Black,BG-U-01-01,,10,15
IPH_XSMAX_FRE_BLACK,BG-U-01-01_SR_Lifeproof FRE SERIES Waterproof Case for iPhone Xs Max,BG-U-01-01,,10,15
IPHONE_HOLDER_BLACK,D-02-04_Mobile Phone Holder Hanging Neck Lazy Necklace Bracket Bed,D-02-04,,10,15
IPHX_FRE_BLACKGRAY,BG-U-01-01_SR_Lifeproof Fre Black iPhone Xs 77-60965,BG-U-01-01,,10,15
JUICER_4BLADE_GREEN,BGD-04-03_380ml Portable Blender Mini Electric Fruit Juicer Green,BGD-04-03,,10,15
JUMP_AIR_COMP_18K,B-04-04_KK123_SR_A2_Super Power Multi-Function Jump StarteR,B-04-04,,10,15
JUMP_AIR_COMP_68K,B-04-04_KK123_SR_A2_Capacity Multi-Function Jump Starter,B-04-04,,10,15
JUMP_POWERBANK_A,B-01-02_High Power Car Jump Starter with power bank option.,B-01-02,,10,15
K2A_PS4_BLUE,B-02-03_KK123_KR_A2_PS4 Headset Headphones,B-02-03,,10,15
K2A_PS4_RED,B-01-03_KK123_A2_Gaming headphones for Xbox one,B-01-03,,10,15
K5_ONIKUMA,B-01-02_PS4 Headset Gaming Headphones,B-01-02,,10,15
K5PRO_BLUE,B-02-02_KK123_KR_A2_Xbox One Gaming Headset,B-02-02,,10,15
